name
Aherin, Robert A
Thorstensson Davila, Liv Solveig
Travers, Kenneth J
Van ES, Bette P
Vriner, Lucinda Benson
Westbury, Ian D
Willis, Arlette I
Wurtzel, Lynn
Zhang, Jiajun
Zhang, Jianjia
Ahadi, Sahar
Alexander, Samuel Kern
Anderson, James D
Baber, Lorenzo D
Barnett, Bernice McNair
Bowermaster, Jon Pence
Bragg, Debra D
Brown, Ruth Nicole
Burbules, Nicholas C
Cope, William
Darder, Antonia
Delaney, Jennifer A
Dhillon, Pradeep A
Dixson, Adrienne Denise
Dyson, Anne Haas
Feinberg, Walter
Fink, Lisa S
Flesher, Jeffrey
Fortier, Priscilla J
Franklin, Kevin
Frasier, James Robert
George-Jackson, Casey Elizabeth
Ginsburg, Rebecca
Hackmann, Donald
Herman, Richard H
Herrera, Linda
Herrmann, Mary Beth
Hertzog, Nancy B
Higgins, Christopher Roy
Hood, Denice Ward
Huang, Wen-Hao
Hunter, Richard C
Ikenberry, Stanley O
Jacobs, Ronald Lynn
Kalata, Erica Dawn
Kim, Hyunjung
Kuchinke, K Peter
Lamers, Nicole Alane
Lauk, Raymond Anthony
Lesht, Faye L
Li, Jie
Loui, Michael C
Lubienski, Christopher
Makela, Julia Panke
Mayo, Cris Susan
McCarthy, Cameron R
Pak, Yoon Kyung
Peters, Michael Adrian
Price, Raymond Lewis
Rivers, Ishwanzya
Rizvi, Fazal
Roegge, Chris
Sloat, Linda Sue Clizer
Span, Christopher
Taylor, Laura Jill
Thurston, Paul W
Treat, Tod E
Trent, William T
Welton, Anjale Devawn
Wentling, Rose Mary
Yonke, Linda L
Anderson, Carolyn Jane
Anderson, Richard C
Anderson, Thomas H
Andresen, Graciela Vazquez
Aprill, Karen
Arulpragasam, Darini S
Benson, Theresa Marie
Berry, Daniel John
Blodgett, Mark L
Boudreaux, Charles Titus
Bowles, Melissa A
Bullock, Cheryl Davis
Chang, Hua-hua
Christianson, Kiel
Cianciolo, Anna T
Colbs, Sandy L
Collins, Kimberly D
Crook, Tressa Helen
Cziko, Gary A
Davidson, Frederick G
Davis, Lori E
Destefano, Lizanne
Diaz, Lisa Bouillion
Douglas, Jeffrey A
Espelage, Dorothy L
Greene, Jennifer Caroline
Griffin-Pierson, Sharon S
Hallett, Marybeth
Hannum, James W
Hays, Kimberly A
Hood, Stafford
Huang, Wen-Hao
Hubert, Lawrence J
Hund-Wantland, Anita Rose
Kinderman, Lisa
Lambeth, Gregory S
Landrum-Brown, Joycelyn
Langellier, Constance M
Larson, Reed W
Leskis, Kathryn Kurlakowsky
Lo, Adrienne Shiu-Ming
Loeb, Jane W
Low, Sabina
McCowan, Carla J
Mestre, Jose
Morrow, Daniel G
Nettles, Saundra Rice Murray
Neville, Helen A
Oswald, Ramona Faith
Packard, Jerome L
Perry, Michelle
Roberts, William A
Robinson-Cimpian, Joseph Paul
Rooney, Gail
Rounds, James
Ryan, Allison M
Ryan, Katherine E
Schwandt, Thomas A
Shin, Dongil
Stake, Robert E
Stine-Morrow, Elizabeth A L
Tettegah, Sharon Y
Thomas, Jodi
Vigdor, Linda
Weathersby, Deidre Ann
West, Charles K
Yang, Shuqun
Zhang, Jinming
Zola, David
Andrews, Laurie Grams
Bentz, Johnell L
Carey, Yvonne A
Chadsey, Janis
Dymond, Stacy K
Fowler, Susan A
Gaffney, Janet S
Halle, James W
Henderson, Robert A
Hughes, Mary-Alayne
Israel, Maya
Katz, Lilian G
Light Shriner, Cheryl L
Lopez, Leonard A
McCollum, Jeanette A
Meadan-Kaplansky, Hedda
Monda-Amaya, Lisa Ellen
Ostrosky, Michaelene
Renzaglia, Adelle M
Santos Gilbertz, Rosa Milagros
Shriner, James G
Strauser, David Ross
Trach, John S
Wheeler, Rachel E
Yates, Tweety Jan
Anderson, James D
Baber, Lorenzo D
Bragg, Debra D
Delaney, Jennifer A
Farmer, James A
Hackmann, Donald
Hunter, Richard C
Ikenberry, Stanley O
Lesht, Faye L
Loui, Michael C
Lubienski, Christopher
McGreal, Thomas L
Sloat, Linda Sue Clizer
Thurston, Paul W
Ward, James G
Albrecht, Johann
Ali, Mir M
Aminmansour, Abbas
Anderson, James R
Andrejasich, Michael J
Anthony, Kathryn H
Armstrong, Paul J
Bartumeus Ferre, Sara
Betts, Richard J
Bognar, Botond
Boubekri, Mohamed
Chasco, David
Cupers, Kenny R
Deal, Brian M
Dearborn, Lynne Marie
Deutsch, Randall
Erickson, Kevin N
Erwin, William H
Gamble, William L
Garner, John S
Geil, Wilma Jean
Ginsburg, Rebecca
Haken, Wolfgang
Hall, Gaines B
Hamlin, Lawrence J
Hammann, Ralph Eugen
Harris, Dianne S
Hemingway, Erik
Heumann, Leonard F
Hinders, Kevin J
Hua, Yue
Irish, Sharon Lee
Kansler, Jeffrey Charles
Kapp, Paul Hardin
Kim, Michael Kyong-il
Kruty, Paul S
Kuznetsov, Helen
Lapunzina, Alejandro
Lerum, Vidar
Malnar, Joy Monice
McCulley, Michael T
McGlamery, Marshal D
Minor, Heather Hyde
Mooney, Robert T
Moses, Richard H
Murray, Scott Charles
Niermann, Matthew William
Palumbo, Paul A
Plummer, Henry S
Poss, Jeffery S
Pyla, Panayiota
Ruggles, D Fairchild
Schmitt, Ronald E
Selby, Robert I
Senseney, John Robert
Stallmeyer, John Charles
Strand, Richard Karl
Taylor, Mark
Tierney, Therese Frances
Uihlein, Marci Smith
Viaud, Jean-Brice Dominique
Waldrep, Lee W
Warfield, James P
Wickersheimer, David
Worn, William W
Yan, Fengying
wenzel, joseph w
Bailey, Andrew D
Bakker, Conrad Quentin
Batten, Luke
Becker, Susan E
Benson, Eric
Block, Jane
Bolgla, Debra L
Bresler, Liora
Bullock, William C
Burkus-Chasson, Anne
Burns, Jennifer
Cade, William P D
Carls, Kenneth Raymond
Cartwright, Stephen
Cox, Donna J
Delacruz, Elizabeth M
Douglas, Robin C
Duncum, Paul Angus
Fineberg, Jonathan D
Finnegan, Cara Anne
Gates, Jay
Ginsburg, Rebecca
Goggin, Nan Elizabeth
Gokl, Renate G
Greenhill, Jennifer
Griffis, Ryan
Gunji, Kimiko
Gunji-Ballsrud, Jennifer Misuzu
Guthrie, Gerald W
Hamilton, Kevin
Hammie, Patrick E
Harleman, Kathleen
Harris, Dianne S
Hays, David Lyle
Hedeman, Anne D
Hetrick, Laura
Hogin, Lauretta J
Hostetter, Eric R
Hudson, Bradley
Kellman, Julia
Kendrick, Barbara F
Kovacs, Thomas G
Kovatch, Ronald R
Krepp, Sarah L
La France, Robert G
Lee, William
Lucero, Jorge
Marina, Areli
McDonagh, Deana C
Meier, Sandy
Mette, Alan T
Minor, Heather Hyde
Minor, Vernon H
O'Brien, David J
Parsons, Michael J
Perlin, Ruth
Peterson, Matthew
Phillips, Stephen
Pokorny, Melissa
Reeder, Kevin
Robbennolt, Linda F
Rosenthal, Lisa
Ross, Joel
Rubin, Tammie Renee
Ruggles, D Fairchild
Sautman, Anne Helen
Scheinman, Muriel
Scott, Ernest D
Shin, Sung Soo
Socha, Daniel F
Spicuzza, Aurelia M
Squier, Joseph C
Theide, Billie J
Tian, Jun
Tober, Bradley K
Twardock, A Robert
Van Laar, Timothy J
Vazquez, Oscar
Wang, Andrew H-J
Weaver, David Deke
Weightman, David Ian
Weissman, Terri
Wiesener, Catherine A
Wood, Jeryldene M
Wu, Shuyu
Yuan, Zhoufei
Beck, Kenneth D
Chiaramonte, Denis
Chiaramonte, Laura Jean
Dayger, John
Erkert, Jan K
Hardin, Kimberly Dee
Hook, Sara
Johnston, Philip T
Knowles, Patricia K
Kuper, Kate D
Lehovec, Linda M
Monson, Jennifer
Murray, Alexander D
Nettl-Fiol, Rebecca C
O'Connor, Terrance R
Oliver, Cynthia
Simson, Kirstie
Toenjes, John M
Wadleigh, Renee
Anderson, Robert G
Barrett, Robert W
Boesche, John Anthony
Bright, Latrelle Sharmaine
Ciofalo, Terry Anne
Conlin, Kathleen F
Davis, Peter A
Dixon, Lisa G
Donley, Adriane Binky
Faurant, Nicole
Garcia, Regina M
Hale, Allean Lemmon
Jenkins, Jeffrey Eric
Kerber, Jane
Keys, Henson Lee
Kidd, Lisa J
Korder, Thomas V
Magee, Jeffrey S
Martell, Verda Beth
McBride, Rebecca
McFarquhar, Robin
Miller, Thomas J
Mitchell, Thomas Owen
Morrissette, Jason William
Perkins, Kathy Anne
Rainwater, Christina M
Robinson, Valleri J
Rundell, Julie A H
Siebrits, Helene
Stevens, Andrea
Sullivan, Daniel J
Syer, Katherine R
Symes, Carol Lynne
Traill, Ariana
Weaver, David Deke
Williams, Michael W
de Velder, Anne C
Berman, Myles D
Chakraborty, Arnab
Deal, Brian M
Dearborn, Lynne Marie
Doussard, Marc J
Edwards, Mary Margaret
Feser, Edward
Forrest, Clyde W
Glosser, Deanna M
Greenlee, Andrew Jordan
Harwood, Stacy Anne
Hewings, Geoffrey J D
Hooker, Joseph Edward
Hopkins, Lewis D
Knight, Bruce Alan
Kowalski, Robert Gerrett
Lavigne, Devin
Lee, Bumsoo
McMillen, Daniel P
Mendenhall, Ruby
Miraftab, Faranak
Novak, Alice E
Olshansky, Robert B
Rost, Craig
Salo, Ken Edgar
Schneider, Daniel W
Silvis, Anne H
Tarum, Kai
Tschangho, John Kim
Tyler, Elizabeth Holl
Walden, Bruce K
Wilson, Beverly K
Bailey, Brian P
Cianciolo, Anna T
Karahalios, Kyratso George
Kramer, Arthur F
Lleras, Alejandro
McDonagh, Deana C
Storkerson, Peter Kahle
Taylor, Henry L
White, Hubert C
Wickens, Christopher D
Ashby, Steven
Avgar, Ariel Chanan
Bruno, Robert Anthony
Cardador, Maria Teresa
Carpenter, Nichelle Carlotta
Chen, Ying
Cutcher-Gershenfeld, Joel Ethan
Drasgow, Fritz
Feuille, Peter
Gilbert, Daniel
Harris, Thomas Brady
Hendricks, Wallace Edward
King, Judith L
Kramer, Amit
Labarbera-Twarog, Emily
Lawler, John J
Leroy, Michael H
Lubotsky, Darren Howard
Martocchio, Joseph J
Mauer, Michael P
Newman, Daniel A
Northcraft, Gregory B
Olson, Craig Allen
Park, Ow Won
Saute, Robert
Schiavone, Michael
Shin, Taekjin
Taghaboni-Dutta, Fataneh
Worthen, Helena Harlow
Bishop, Ann P
Black, Alistair Matthew
Blake, Catherine Lesley
Bruce, Bertram C
Cochrane, Pauline A
Cole, Timothy W
Cooke, Nicole Amy
Davis, Susan Gray
Diesner, Jana
Downie, J Stephen
Dubin, David Scott
Efron, Miles James
Estabrook, Leigh S
Ford, Barbara Jean
Gant, Jon Patrick
Gasser, Leslie G
Hearne Claffey, Elizabeth G
Hotchkiss, Valerie
Houston, Joseph Brantley
Jenkins, Christine A
Karahalios, Kyratso George
Kaufman, Paula T
Kendall, Lori Sue
Knox, Emily Joyce Magdelyn
Krummel, Donald W
LaBarre, Kathryn Anne
Mak, Bonnie
McDonough, Jerome Patrick
McDowell, Kathleen
McWorter, Gerald
Noble, Safiya Umoja
Palmer, Carole
Rayward, Warden B
Renear, Allen H
Richardson, Selma
Roth, Dan
Schatz, Bruce R
Schiller, Daniel Toby
Searing, Susan Ellis
Smith, Linda C
Tilley, Carol L
Torvik, Vetle Ingvald
Twidale, Michael Bernard
Weech, Terry
Wentling, Tim L
Williams, Kathleen H
Zhai, Chengxiang
Christensen, Sarah M
Han, Myung-Ja
Hinchliffe, Lisa W
Hotchkiss, Valerie
Kaufman, Paula T
Mahoney, Megan O'Reilly
Namachchivaya, Beth Sandore
Rudasill, Lynne M
Schmidt, Karen A
Searing, Susan Ellis
Swain, Ellen D
Teper, Jennifer Hain
Teper, Thomas H
Unsworth, John M
Woodard, Beth S
Wright, Joyce C
Berry, William E
Chambers, Jason Paul
Duff, Brittany
Friedman, Judith Stern
Hall, Steven Ray
Ham, Chang Dae
Maclay, Howard S
Nelson, Michelle Renee
Olson, Katrina Marie
Otnes, Cornelia C
Porta, Horacio
Scott, Linda M
Sheldon, Peter S
Slater, Janet S
Vargas, Patrick T
Waldoff, Leon
White, Tiffany Barnett
Wirtz, John
Chan, Anita
Cole, Cheryl L
Dovring, Karin Elsa Ingeborg
Hay, James W
McCarthy, Cameron R
McChesney, Robert W
Molina, Isabel
Reisner, Ann E
Shavitt, Sharon
Slater, Janet S
Sotirovic, Mirjana
Valdivia, Angharad N
Benson, Christopher D
Benson, Nancy Jane
Dash, Leon Decosta
Ehrlich, Matthew C
Follis, Jennifer E
Foreman, John Richard
Gaines, William C
Harrington, Walter George
Hays, Robert G
Helle, Steven J
Holley, Geralyn Kay
Houston, Joseph Brantley
Johnson, Brian K
Kaler, Robin Neal
Kaplan, Richard N
Ledford, Charles
Liebovich, Louis W
Martin, Lovick R
McDonald, Jean A
Meyer, Eric K
Paul, John David
Reid, Robert D
Rosenstein, Jay Mark
Sotirovic, Mirjana
Yates, Ronald E
Baird, Robert Thomas
Basu, Anustup
Cagle, Robert L
Camargo, Sandra
Capino, Jose Bernard
Catanzarite, Christine Jane
Chan, Anita
Christians, Clifford
Ciafone, Amanda M
Cole, Cheryl L
Curry, Ramona
Denzin, Norman K
Hay, James W
Kaganovsky, Lilya
McCarthy, Cameron R
Molina, Isabel
Nerone, John C
Newman, John K
Pinkert, Anke
Potter, Richard A
Reisner, Ann E
Rushing, Robert A
Solomon, Jon
Stenport, Anna Westerstahl
Treichler, Paula A
Turnock, Julie
Valdivia, Angharad N
Wade, Mara R
Xu, Gary Gang
Grupe, Lizabeth
May, Andrew Thomas
Scheele, Luke
Sullivan, Shane
Moncrief, Diane
Nachowicz, Jason P
Sapp, Donovan Demont
South, Jackie Kenneth
Staub, Jason Andrew
Stetson, Eric
Aldridge, Brian Michael
Aldridge, Russhawn Jackson
Allison, Sarah O
Austin, Scott Matthew
Barger, Anne M
Bertram, Timothy A
Biehl, Michael LeRoy
Bunick, David
Campbell, Karen L
Clark-Price, Stuart Charles
Colegrove-Calvey, Kathleen Mary
Coleman, David Andrew
Cropek, Donald Michael
Dahlem, Andrew M
Driskell, Elizabeth Ann
Eubig, Paul Andrew
Fan, Timothy M
Ferguson, Duncan Craig
Firkins, Lawrence D
Foreman, Jonathan H
Francis, Bettina M
Fredrickson, Richard Lincoln
French, Dennis D
Garrett, Edgar F
Garrett, Laura Diane
Gaskins, H Rex
Gutierrez Nibeyro, Santiago Daniel
Hague, Devon Wallis
Hamor, Ralph E
Harper, Tisha Adele Maria
Herrmann, John Arthur
Hoenig, Margarethe Elisabeth
Hoyer, Lois L
Hsiao, Shih-Hsuan
Jacobs, Gilbert J
Johnson-Walker, Yvette Joyce
Joslyn, Stephen
Khan, Safdar Ali
Khanna, Chand
Kinsel, Michael J
Knight, Michael W
Ko, CheMyong
Krylov, Victor
Kuhlenschmidt, Mark S
Kummerow, Fred A
Labelle, Amber L
Labelle, Philippe
Langan, Jennifer N
Lascola, Kara M
Lau, Gee
Lavergne, Sidonie N
Lezmi, Stephane
Lowe, James F
Maddox, Carol W
Mahoney, Megan M
Marick, Dawn Elaine
Marretta, Sandra Manfra
Matheson, Jodi S
McKiernan, Brendan C
McMichael, Maureen
Means, Charlotte
Mei, Wenyan
Merema, Danielle
Merola, Valentina M
Miller, Gay Y
Miller, Suzanne Elizabeth
Mitchell, Mark
O'Brien, Mauria A
O'Brien, Robert T
O'Hara, Marilyn Sue
O'Hara, Todd
Paul, Allan J
Phillips, Heidi
Pijanowski, Gerald J
Reid, Pamela Joanne
Ridgway, Marcella D
Rock, Daniel L
Rooney, Alejandro P
Rubin, Stanley Ian
Sauberli, Debra S
Schantz, Susan L
Schell, Mary
Scherba, Gail
Segre, Mariangela
Shipley, Clifford F
Siegel, Arthur M
Singh, Kuldeep
Snyder, Daniel E
Solter, Philip F
Stern, Adam Wayne
Stewart, Matthew C
Terio, Karen
Trammel, Harold L
Tripathy, Deoki N
Valli, Victor E O
Vimr, Eric R
Wallig, Matthew Alan
Weber, Cheryl Ann
Weedon, George Robert
Weigel, Ronald Melville
Welle, Kenneth R
Whiteley, Herbert E
Whittington, Julia K
Wilkins, Pamela A
Williams, David A
Wismer, Tina Ann
Wypij, Jacqueline M
Yang, Jing
Yoo, Dongwan
Zhou, Sherry Qi
Zuckermann, Federico A
